iter	Passed	Remaining
420	2222	3056
421	2227	3050
422	2231	3044
423	2236	3038
424	2242	3033
425	2247	3027
426	2252	3023
427	2257	3017
428	2262	3011
429	2267	3006
430	2273	3000
431	2277	2994
432	2282	2988
433	2287	2982
434	2292	2977
435	2296	2970
436	2301	2965
437	2308	2961
438	2313	2956
439	2318	2950
440	2323	2945
441	2328	2939
442	2333	2933
443	2338	2928
444	2343	2922
445	2347	2916
446	2353	2911
447	2358	2905
448	2362	2899
449	2367	2894
450	2373	2889
451	2378	2883
452	2383	2878
453	2390	2874
454	2394	2868
455	2399	2862
456	2405	2857
457	2410	2852
458	2414	2845
459	2420	2841
460	2425	2835
461	2429	2829
462	2435	2824
463	2441	2820
464	2446	2814
465	2451	2809
466	2456	2804
467	2461	2798
468	2466	2792
469	2472	2787
470	2476	2781
471	2481	2776
472	2486	2770
473	2491	2765
474	2496	2758
475	2501	2753
476	2506	2748
477	2511	2742
478	2517	2737
479	2521	2732
480	2526	2725
481	2531	2720
482	2536	2715
483	2541	2709
484	2546	2703
485	2552	2699
486	2557	2693
487	2561	2687
488	2567	2682
489	2572	2677
490	2576	2671
491	2582	2666
492	2587	2661
493	2591	2654
494	2597	2650
495	2602	2644
496	2607	2639
497	2612	2633
498	2619	2629
499	2623	2623
500	2628	2618
501	2637	2616
502	2642	2610
503	2647	2605
504	2653	2600
505	2657	2594
506	2662	2589
507	2668	2584
508	2673	2578
509	2677	2572
510	2682	2567
511	2687	2561
512	2692	2555
513	2697	2550
514	2702	2545
515	2707	2539
516	2712	2534
517	2718	2529
518	2722	2523
519	2727	2517
520	2733	2512
521	2738	2507
522	2742	2501
523	2748	2497
524	2754	2492
525	2759	2486
526	2764	2481
527	2769	2475
528	2773	2469
529	2779	2464
530	2784	2459
531	2788	2453
532	2794	2448
533	2799	2442
534	2803	2436
535	2808	2430
536	2813	2425
537	2818	2420
538	2822	2414
539	2827	2408
540	2832	2403
541	2837	2397
542	2842	2392
543	2847	2387
544	2852	2381
545	2857	2375
546	2862	2370
547	2867	2364
548	2872	2359
549	2877	2353
550	2882	2348
551	2887	2343
552	2892	2338
553	2897	2332
554	2902	2327
555	2907	2321
556	2913	2317
557	2918	2311
558	2923	2306
559	2928	2300
560	2933	2295
561	2938	2290
562	2944	2285
563	2949	2280
564	2954	2274
565	2959	2268
566	2964	2263
567	2969	2258
568	2973	2252
569	2979	2247
570	2984	2242
571	2988	2236
572	2994	2231
573	2999	2225
574	3003	2219
575	3008	2214
576	3014	2209
577	3018	2204
578	3023	2198
579	3028	2193
580	3033	2187
581	3038	2182
582	3043	2176
583	3048	2171
584	3053	2166
585	3058	2161
586	3064	2155
587	3068	2150
588	3073	2144
589	3078	2139
590	3083	2134
591	3088	2128
592	3094	2123
593	3099	2118
594	3104	2113
595	3109	2107
596	3115	2102
597	3119	2097
598	3125	2092
599	3130	2087
600	3136	2082
601	3141	2076
602	3146	2071
603	3151	2066
604	3157	2061
605	3162	2056
606	3167	2050
607	3172	2045
608	3179	2041
609	3184	2035
610	3189	2030
611	3194	2025
612	3198	2019
613	3203	2013
614	3209	2009
615	3214	2003
616	3218	1997
617	3223	1992
618	3228	1987
619	3233	1982
620	3238	1976
621	3243	1971
622	3248	1965
623	3253	1960
624	3259	1955
625	3264	1950
626	3268	1944
627	3274	1939
628	3279	1934
629	3283	1928
630	3288	1923
631	3294	1918
632	3299	1912
633	3304	1907
634	3310	1902
635	3315	1897
636	3320	1892
637	3325	1886
638	3330	1881
639	3335	1876
640	3340	1870
641	3345	1865
642	3349	1859
643	3354	1854
644	3360	1849
645	3365	1844
646	3369	1838
647	3375	1833
648	3380	1828
649	3384	1822
650	3390	1817
651	3395	1812
652	3400	1806
653	3405	1801
654	3410	1796
655	3415	1790
656	3420	1785
657	3425	1780
658	3430	1775
659	3435	1769
660	3441	1764
661	3446	1759
662	3450	1754
663	3457	1749
664	3461	1743
665	3466	1738
666	3473	1733
667	3477	1728
668	3482	1723
669	3488	1718
670	3493	1712
671	3498	1707
672	3503	1702
673	3509	1697
674	3513	1691
675	3519	1686
676	3524	1681
677	3529	1676
678	3534	1671
679	3540	1665
680	3544	1660
681	3549	1655
682	3555	1650
683	3560	1644
684	3564	1639
685	3570	1634
686	3575	1629
687	3580	1623
688	3585	1618
689	3591	1613
690	3595	1607
691	3600	1602
692	3606	1597
693	3610	1592
694	3615	1586
695	3621	1581
696	3627	1576
697	3631	1571
698	3637	1566
699	3642	1561
700	3647	1555
701	3652	1550
702	3657	1545
703	3662	1539
704	3667	1534
705	3672	1529
706	3677	1523
707	3682	1518
708	3688	1513
709	3692	1508
710	3696	1502
711	3702	1497
712	3707	1492
713	3712	1486
714	3716	1481
715	3722	1476
716	3727	1471
717	3732	1466
718	3737	1460
719	3742	1455
720	3747	1450
721	3753	1445
722	3758	1440
723	3763	1434
724	3768	1429
725	3773	1424
726	3778	1418
727	3783	1413
728	3788	1408
729	3793	1402
730	3798	1397
731	3804	1393
732	3809	1387
733	3815	1382
734	3820	1377
735	3825	1372
736	3831	1367
737	3837	1362
738	3841	1356
739	3846	1351
740	3852	1346
741	3856	1341
742	3861	1335
743	3866	1330
744	3871	1325
745	3876	1319
746	3880	1314
747	3886	1309
748	3891	1304
749	3896	1298
750	3901	1293
751	3906	1288
752	3910	1282
753	3916	1277
754	3921	1272
755	3926	1267
756	3932	1262
757	3938	1257
758	3942	1251
759	3947	1246
760	3952	1241
761	3957	1236
762	3962	1230
763	3967	1225
764	3972	1220
765	3977	1215
766	3983	1210
767	3988	1204
768	3992	1199
769	3998	1194
770	4003	1189
771	4007	1183
772	4012	1178
773	4017	1173
774	4023	1168
775	4028	1162
776	4033	1157
777	4038	1152
778	4042	1146
779	4047	1141
780	4053	1136
781	4057	1131
782	4063	1126
783	4068	1120
784	4072	1115
785	4077	1110
786	4082	1104
787	4087	1099
788	4092	1094
789	4097	1089
790	4102	1084
791	4107	1078
792	4113	1073
793	4118	1068
794	4123	1063
795	4128	1058
796	4133	1052
797	4138	1047
798	4143	1042
799	4148	1037
800	4152	1031
801	4157	1026
802	4162	1021
803	4167	1016
804	4172	1010
805	4177	1005
806	4182	1000
807	4187	994
808	4191	989
809	4197	984
810	4202	979
811	4206	973
812	4213	969
813	4218	963
814	4223	958
815	4228	953
816	4233	948
817	4238	942
818	4243	937
819	4248	932
820	4252	927
821	4257	922
822	4263	916
823	4267	911
824	4272	906
825	4278	901
826	4283	896
827	4288	890
828	4293	885
829	4298	880
830	4303	875
831	4308	870
832	4313	864
833	4319	859
834	4323	854
835	4328	849
836	4333	843
837	4337	838
838	4343	833
839	4348	828
840	4353	823
841	4358	817
842	4364	812
843	4369	807
844	4374	802
845	4379	797
846	4384	791
847	4388	786
848	4394	781
849	4399	776
850	4404	771
851	4409	765
852	4414	760
853	4419	755
854	4424	750
855	4430	745
856	4434	740
857	4440	734
858	4445	729
859	4449	724
860	4454	719
861	4459	713
862	4464	708
863	4469	703
864	4474	698
865	4479	693
866	4484	687
867	4489	682
868	4494	677
869	4499	672
870	4503	667
871	4509	661
872	4514	656
873	4519	651
874	4524	646
875	4529	641
876	4533	635
877	4539	630
878	4544	625
879	4549	620
880	4555	615
881	4561	610
882	4565	604
883	4571	599
884	4576	594
885	4581	589
886	4586	584
887	4591	579
888	4596	573
889	4600	568
890	4606	563
891	4611	558
892	4616	553
893	4620	547
894	4626	542
895	4631	537
896	4636	532
897	4641	527
898	4646	522
899	4651	516
900	4657	511
901	4662	506
902	4666	501
903	4673	496
904	4678	491
905	4683	485
906	4688	480
907	4692	475
908	4697	470
909	4706	465
910	4711	460
911	4716	455
912	4722	449
913	4727	444
914	4732	439
915	4739	434
916	4744	429
917	4748	424
918	4754	419
919	4759	413
920	4763	408
921	4768	403
922	4773	398
923	4778	393
924	4782	387
925	4789	382
926	4794	377
927	4799	372
928	4804	367
929	4810	362
930	4814	356
931	4820	351
932	4825	346
933	4829	341
934	4834	336
935	4839	330
936	4844	325
937	4848	320
938	4854	315
939	4859	310
940	4864	304
941	4869	299
942	4875	294
943	4880	289
944	4886	284
945	4890	279
946	4895	274
947	4901	268
948	4906	263
949	4911	258
950	4917	253
951	4922	248
952	4927	243
953	4932	237
954	4937	232
955	4942	227
956	4947	222
957	4952	217
958	4957	211
959	4961	206
960	4967	201
961	4972	196
962	4977	191
963	4981	186
964	4987	180
965	4992	175
966	4997	170
967	5002	165
968	5007	160
969	5012	155
970	5018	149
971	5023	144
972	5027	139
973	5033	134
974	5039	129
975	5044	124
976	5049	118
977	5055	113
978	5060	108
979	5065	103
980	5071	98
981	5075	93
982	5080	87
983	5086	82
984	5090	77
985	5095	72
986	5100	67
987	5106	62
988	5110	56
989	5116	51
990	5121	46
991	5126	41
992	5131	36
993	5136	31
994	5141	25
995	5146	20
996	5152	15
997	5157	10
998	5162	5
999	5166	0
